id,name,vp,discount,evolution_cost,pokeball_cost,greatball_cost,ultraball_cost,healball_cost,quickball_cost,masterball_cost,source_file
pokeball_stage1_1_1,喇叭芽,0,pokeball=1,healball=2,0,1,2,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748194305B7DEA4A918AE2784056B225A6AFD40D436710373.png
pokeball_stage1_1_2,喇叭芽,0,pokeball=1,healball=2,0,0,0,0,3,0,httpssteamusercontentaakamaihdnetugc2323362210748200171A03115DB03E0481D5AEB1BD7A618E32F08E887A1.png
pokeball_stage1_1_3,喇叭芽,0,pokeball=1,healball=2,2,0,0,2,0,0,httpssteamusercontentaakamaihdnetugc23233622107481972268EA195EB2E15C0A658597498A5676BA6C5E39409.png
pokeball_stage1_2_1,腕力,0,pokeball=1,quickball=3,0,1,1,1,1,0,httpssteamusercontentaakamaihdnetugc2323362210748203054AF368C683562B1AEB63F04BF875EFF7AD3CD076F.png
pokeball_stage1_2_2,腕力,0,pokeball=1,quickball=3,0,0,1,1,2,0,httpssteamusercontentaakamaihdnetugc23233622107482051359BC99F7C327F9360DAF82DEE04BF347B882767AA.png
pokeball_stage1_3_1,杰尼龟,1,pokeball=1,ultraball=3,4,0,0,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748212898781F70B810A0BBFBB4D398EB7E2596DF09A0BB4E.png
pokeball_stage1_3_2,杰尼龟,1,pokeball=1,ultraball=3,0,2,0,3,0,0,httpssteamusercontentaakamaihdnetugc23233622107482101277BE717A564B710EFEAA33B67ABC49BA424B8BF52.png
pokeball_stage2_1_1,口呆花,1,pokeball=1,healball=4,3,0,2,0,2,0,httpssteamusercontentaakamaihdnetugc2323362210748417521346B2D72F9FA13B9CF08FD5478AF5D442AD95BAE.png
pokeball_stage2_1_2,口呆花,1,pokeball=1,healball=4,0,0,2,3,2,0,httpssteamusercontentaakamaihdnetugc2323362210748415725E26191E2ACE484E0D92045C2DE18BD0042937475.png
pokeball_stage2_2_1,豪力,2,pokeball=1,greatball=3,0,1,2,0,4,0,httpssteamusercontentaakamaihdnetugc23233622107484075134E8EC481BEB9BE7E3A258C11C6D3045383830D8E.png
pokeball_stage2_2_2,豪力,2,pokeball=1,greatball=3,5,0,0,2,0,0,httpssteamusercontentaakamaihdnetugc23233622107484094401A421F820F2793424BBA0BF7E4818032E63091C0.png
pokeball_stage2_3_1,卡咪龟,3,pokeball=1,healball=4,6,0,0,0,0,0,httpssteamusercontentaakamaihdnetugc23233622107484137422996C01630C6A194E66E551CB4A02E0AF937A68C.png
pokeball_stage2_3_2,卡咪龟,3,pokeball=1,healball=4,0,4,4,1,0,0,httpssteamusercontentaakamaihdnetugc2323362210748411702495595A8225AAC33F9189A01A367AE58FC0E2194.png
pokeball_stage3_1,大食花,3,pokeball=1,,5,2,2,0,0,0,httpssteamusercontentaakamaihdnetugc23233622107484737236504F5B4C2BA483E9C6178AE5BC2AA1924228528.png
pokeball_stage3_2,怪力,4,pokeball=1,,0,0,0,4,6,0,httpssteamusercontentaakamaihdnetugc232336221074847151154E3530FE40AD90A90953EC98EFFEA97D5550944.png
pokeball_stage3_3,水箭龟,5,pokeball=1,,0,7,3,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748469923397ABBA27D7ABDC4E72A43C5EDF52C297FBAF68A.png
pokeball_rare_1,拉普拉斯,0,pokeball=2,,0,2,3,0,0,1,httpssteamusercontentaakamaihdnetugc23233622107485003965271EB8A26B08BE9EA76266291DE6AF677989048.png
pokeball_rare_2,火箭队的喵喵,0,pokeball=2,,0,2,3,0,0,1,httpssteamusercontentaakamaihdnetugc232336221074851553373E99DBC7BC95FF02335456944649760C2B8D165.png
pokeball_legendary_1,闪电鸟,2,pokeball=2,,0,3,0,3,3,1,httpssteamusercontentaakamaihdnetugc2323362210748532894D0061050A996E767727098777E5C6082BE568BB1.png
pokeball_legendary_2,比克提尼,2,pokeball=2,,0,3,0,3,3,1,httpssteamusercontentaakamaihdnetugc232336221074854326955311E5296E2DFDD439348669FA4227A1D23D2F7.png
greatball_stage1_1_1,波波,0,greatball=1,pokeball=2,0,0,1,0,2,0,httpssteamusercontentaakamaihdnetugc23233622107481609657B4310C65B71BA2D90619376CCF67D9C578560AA.png
greatball_stage1_1_2,波波,0,greatball=1,pokeball=2,0,0,0,3,0,0,httpssteamusercontentaakamaihdnetugc2323362210748167055A1E4AEC3E2E2CA57C1006C3F7D4AB444A12B1482.png
greatball_stage1_1_3,波波,0,greatball=1,pokeball=2,2,2,0,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748164219952394D0C9F78854CF8F73080A9412651BAC465A.png
