family,stage,name,evolution_cost
quickball_1,1,尼多兰,greatball=2
quickball_1,2,尼多娜,greatball=4
quickball_1,3,尼多后,
quickball_2,1,鬼斯,ultraball=3
quickball_2,2,鬼斯通,pokeball=3
quickball_2,3,耿鬼,
quickball_3,1,妙蛙种子,healball=3
quickball_3,2,妙蛙草,greatball=4
quickball_3,3,妙蛙花,
greatball_1,1,波波,pokeball=2
greatball_1,2,比比鸟,pokeball=4
greatball_1,3,大比鸟,
greatball_2,1,小拳石,healball=3
greatball_2,2,隆隆石,ultraball=3
greatball_2,3,隆隆岩,
greatball_3,1,小火龙,quickball=3
greatball_3,2,火恐龙,pokeball=4
greatball_3,3,喷火龙,
ultraball_1,1,走路草,quickball=2
ultraball_1,2,臭臭花,quickball=4
ultraball_1,3,霸王花,
ultraball_2,1,独角虫,pokeball=3
ultraball_2,2,铁壳蛹,healball=3
ultraball_2,3,大针蜂,
ultraball_3,1,迷你龙,greatball=3
ultraball_3,2,哈克龙,quickball=4
ultraball_3,3,快龙,
pokeball_1,1,喇叭芽,healball=2
pokeball_1,2,口呆花,healball=4
pokeball_1,3,大食花,
pokeball_2,1,腕力,quickball=3
pokeball_2,2,豪力,greatball=3
pokeball_2,3,怪力,
pokeball_3,1,杰尼龟,ultraball=3
pokeball_3,2,卡咪龟,healball=4
pokeball_3,3,水箭龟,
healball_1,1,蚊香蝌蚪,ultraball=2
healball_1,2,蚊香君,ultraball=4
healball_1,3,蚊香泳士,
healball_2,1,绿毛虫,greatball=3
healball_2,2,铁甲蛹,quickball=3
healball_2,3,巴大蝶,
healball_3,1,凯西,pokeball=3
healball_3,2,勇基拉,ultraball=4
healball_3,3,胡地,
